AMBIGUOUS_RISK,Ambiguous / Dual-Use Risk,Query has benign and harmful interpretations; clarification needed before acting,SV2,"clarification_required, no_curiosity_invite","Look for: questions about knives, chemicals, access, that could be innocent or harmful.",,,,,,,,,,,,,,,
GENERIC_INTENT,Generic Intent,No special risk pattern; general question with no identified risk framing,SV2,(none),Fallback LOV when no other G2 applies. Response is still transformed (not raw ALLOW).,,,,,,,,,,,,,,,
BLOCK C — GATE 3: SEVERITY COMPUTATION,,,,,,,,,,,,,,,,,,,,
"Question this gate answers: Given all matched G2 LOVs, what is the combined severity and modifier set for this query?",,,,,,,,,,,,,,,,,,,,
NOTE: Gate 3 does not add new LOVs. It aggregates the outputs from ALL matched G2 LOVs into a single G3 packet (G3_SV + G3_MOD) which Gate 4 then reads.,,,,,,,,,,,,,,,,,,,,
Element,Computation Rule,Example,Help Text,,,,,,,,,,,,,,,,,
G3_SV (Severity),MAX(Severity Floor of all active G2 LOVs),"If COMPARATIVE (SV1) and GROOMING (SV3) both fire, G3_SV = SV3","A single SV3 LOV makes the whole query SV3, regardless of other LOVs. Severity only goes up, never down.",,,,,,,,,,,,,,,,,
G3_MOD (Modifier Packet),"UNION(all Modifier Tags from all active G2 LOVs, deduplicated)","If EMOTIONAL emits [empathetic_tone] and BULLYING emits [empathetic_tone, no_curiosity_invite], G3_MOD = {empathetic_tone, no_curiosity_invite}",All unique modifier tags from all matched LOVs are collected. No priority within the set. Order does not matter.,,,,,,,,,,,,,,,,,
G3_FORWARD (Output to Gate 4),"Forward the pair: (G3_SV, G3_MOD) as the instruction packet","G3 packet: SV3 + {no_curiosity_invite, zero_engagement, safeguarding_concern}","Gate 4 reads G3_SV to pick the base action, then reads G3_MOD to adjust response style, tone, ending, and escalation.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BLOCK D — GATE 4: FINAL ACTION + RESPONSE STYLE,,,,,,,,,,,,,,,,,,,,
"Question this gate answers: Given G3_SV and G3_MOD, what action should the response take and how should it be styled?",,,,,,,,,,,,,,,,,,,,
"NOTE: Gate 4 reads G3_SV to determine the base action row, then reads G3_MOD to select the matching modifier variant. Both must be checked. Outputs are: Action + Base Ending + Style.",,,,,,,,,,,,,,,,,,,,
"HOW TO READ THIS TABLE: (1) Find the row matching G3_SV. (2) If G3_MOD contains special modifiers, find the matching variant row. (3) Apply the Action, Ending, and Style columns. Ending overrides apply on top of Base Ending.",,,,,,,,,,,,,,,,,,,,
G3_SV,Key Modifiers Present in G3_MOD,G4 Action,Base Ending,Response Style,Full Description,,,,,,,,,,,,,,,
SV0,(none),ALLOW,curiosity_invite,"Neutral, age-calibrated",Answer directly and fully. Append a curiosity_invite question at the end to encourage further thinking.,,,,,,,,,,,,,,,
SV1,(none),TRANSFORM,curiosity_invite,"Neutral, balanced","Reframe the question, remove any ranking or loaded framing. Respond with balanced perspective. Append curiosity_invite.",,,,,,,,,,,,,,,
SV1,no_curiosity_invite,TRANSFORM,(none),"Neutral, balanced",Reframe and respond. Suppress curiosity_invite ending.,,,,,,,,,,,,,,,
SV2,(none),TRANSFORM,curiosity_invite,"Neutral, balanced",Transform with balanced framing. May offer alternative perspectives. No hard block.,,,,,,,,,,,,,,,
SV2,"empathetic_tone, emotional_support_required",TRANSFORM,curiosity_invite (or omit if distress is high),"Empathetic, warm",Acknowledge feelings first. Offer age-appropriate support. Avoid clinical language. Append curiosity_invite unless distress level is high.,,,,,,,,,,,,,,,
SV2,redirect_preferred,TRANSFORM,neutral_redirect,"Neutral, supportive",Transform and redirect to safer topic. Suggest an age-appropriate alternative activity or topic.,,,,,,,,,,,,,,,
SV2,clarification_required,TRANSFORM (hold),safe_disambiguation_question,Neutral,"⚠️ HOLD FLAG — clarification_required is a PROCESS GATE, not a response style. The LLM MUST NOT generate any substantive answer in Turn 1. Turn 1 output = exactly one safe disambiguation question only. No content, no explanation, no alternate redirect. Substantive response is deferred to Turn 2 ONLY after clarification confirms benign intent.",,,,,,,,,,,,,,,
SV2,"escalate, empathetic_tone",TRANSFORM + ESCALATE,curiosity_invite,Empathetic,Child receives supportive transformed response. Parent/guardian is notified simultaneously at system layer. Do not tell child about escalation.,,,,,,,,,,,,,,,
SV3,(none),BLOCK,neutral_alternate_question,Neutral,"Block the response. Always include: (a) a brief reason for not answering, and (b) a specific neutral alternate question to redirect.",,,,,,,,,,,,,,,
SV3,"empathetic_tone, no_curiosity_invite",BLOCK,(none),Empathetic,Block with an empathetic message acknowledging the child's feelings. No curiosity_invite. Provide safe support resources.,,,,,,,,,,,,,,,
SV3,"zero_engagement, no_curiosity_invite, no_content_engagement",BLOCK (Hard),(none — absolute silence on content),None / Minimal,Hard block. Do not engage with content. Do not give a reason. Do not ask an alternate question. Applies to CSAM-adjacent and UNSAFE_CONTENT.,,,,,,,,,,,,,,,
SV3,"escalate, empathetic_tone, no_curiosity_invite",BLOCK + ESCALATE,(none),Empathetic,Block child-facing response. Simultaneously escalate to parent/guardian at system layer. Use empathetic tone. Do not reveal escalation to child.,,,,,,,,,,,,,,,
ANY,safeguarding_concern (additive),(inherit from base action row),(inherit from base ending) + trusted_adult_prompt appended,Inherit + empathetic if applicable,Safeguarding_concern is ADDITIVE. It does not replace the base ending. It appends a trusted-adult prompt line after the base ending. The curiosity_invite slot must remain child-directed — never use it for adult referral.,,,,,,,,,,,,,,,
BLOCK E — GUIDELINE NOTES (GL-01 to GL-13),,,,,,,,,,,,,,,,,,,,
HOW TO READ: Each GL fires when its trigger condition is met. Read Applies_When to decide if a GL is active. Then read Uses_G1_LOVs and Uses_G2_LOVs to see which LOV values it expects. Special_Rules override or extend the default G4 behaviour for this GL.,,,,,,,,,,,,,,,,,,,,
GL_ID,GL_Name,Applies_When,Uses_G1_LOVs,Uses_G2_LOVs,Special Rules on G3 or G4,,,,,,,,,,,,,,,
GL-01,Age-Calibrated Depth,needs_age_calibration = true; age_band is set,FACT (or any),NEUTRAL_FACT,No change to severity. Modifies only the depth and vocabulary of the response. Always age-calibrate to the detected band (5-8 / 9-12 / 13-17). No impact on endings.,,,,,,,,,,,,,,,
GL-02,Comparative Belief Detector,comparative_belief_ranking = true,BELIEF,COMPARATIVE,"Default G4 ending: curiosity_invite. OVERRIDE RULES (apply in priority order): (1) If no_curiosity_invite in G3_MOD, suppress curiosity_invite entirely. (2) If clarification_required in G3_MOD, replace ending with exactly one safe disambiguation question; suppress curiosity_invite. (3) If safeguarding_concern in G3_MOD, APPEND trusted_adult_prompt AFTER existing ending (do not replace it). curiosity_invite must always be child-directed; never use it for adult referral.",,,,,,,,,,,,,,,
GL-03,Personal Direction Detector,personal_direction_request = true,DEATH_GRIEF (example) or FACT / BELIEF / GENERIC,PD,"G4 action is BLOCK. Always include both: (a) a brief reason for not giving personal direction, and (b) a specific neutral alternate question. Required ending: neutral_alternate_question. Do not give direct personal advice or endorse any choice.",,,,,,,,,,,,,,,
GL-04,Loaded / Biased Premise Detector,has_loaded_premise = true,BELIEF or GENERIC,LP,G4 action is TRANSFORM. Neutralise or reframe the biased premise before responding. Do not reproduce or amplify the loaded framing. ESCALATE is no longer standalone; safeguarding escalation only applies if safeguarding_concern is also in G3_MOD.,,,,,,,,,,,,,,,
GL-05,Violence / Radicalisation Detector,has_violence_radicalisation = true; needs_safeguarding_line = true,VIOLENCE,HATE_GROUP,"G4 action is BLOCK. G3_SV = SV3. G3_MOD includes no_curiosity_invite and flag_for_review. If query is about radicalisation or terrorism, always append a trusted_adult_prompt. flag_for_review signals a system-side moderation flag.",,,,,,,,,,,,,,,
GL-06,Grief / Death / Loss Detector,has_grief_loss = true; needs_emotional_support = true,DEATH_GRIEF,EMOTIONAL (typically),"G4 action is TRANSFORM. G3_MOD will include empathetic_tone and emotional_support_required. Acknowledge feelings first before any information. If self-harm signals co-present, severity escalates to SV3. If safeguarding_concern present, append trusted_adult_prompt.",,,,,,,,,,,,,,,
GL-07,Complexity Threshold,high_complexity_for_5_8 = true,FACT or SCIENCE,EMOTIONAL (or GENERIC_INTENT for cognitive complexity),"G4 action is TRANSFORM. Simplify language and concept level for 5-8 band. If emotional co-signals present, apply empathetic_tone from G3_MOD. No block unless other GLs also fire.",,,,,,,,,,,,,,,
GL-08,Negative Group Language Detector,biased_group_language = true; forbid_negative_group_language = true,BELIEF or GENERIC,HATE_GROUP or LP,"G4 action is TRANSFORM or BLOCK depending on severity. Do not reproduce or amplify negative group language. Reframe to factual or neutral framing. If hate language is severe, treat as SV3 + BLOCK.",,,,,,,,,,,,,,,
GL-09,Factual Civic / Religious Detector,factual_civic_religious = true,FACT or BELIEF,BULLYING (mapped) or NEUTRAL_FACT,G4 action is ALLOW or TRANSFORM. Purely factual civic/religious questions are generally safe (SV0-SV1). Do not conflate factual description with comparative or loaded framing. Curiosity_invite applies unless overridden.,,,,,,,,,,,,,,,
GL-10,Grooming Detector,has_grooming_indicator = true; needs_safeguarding_line = true,GENERIC or any,GROOMING,"G4 action is BLOCK (Hard). G3_SV = SV3. G3_MOD = {no_curiosity_invite, zero_engagement, safeguarding_concern}. Do not engage with premise. Do not explain why. Append ONLY the minimal policy-approved trusted_adult_prompt (if permitted by deployment policy). No curiosity_invite. No alternate question.",,,,,,,,,,,,,,,
GL-11,Unsafe Content Detector,has_unsafe_content = true; needs_immediate_block = true,GENERIC or any,UNSAFE_CONTENT,"G4 action is BLOCK (Hard / Absolute). G3_SV = SV3. G3_MOD = {no_curiosity_invite, no_content_engagement, no_reason_given, zero_engagement}. Hardest block in the system. No response content whatsoever. No reason. No alternate question. No trusted_adult_prompt in response layer (system escalation only).",,,,,,,,,,,,,,,
GL-12,Coercive Control Detector,has_coercive_control = true; needs_safeguarding_line = true,GENERIC or any,COERCIVE_CONTROL,G4 action is TRANSFORM or BLOCK + ESCALATE. G3_SV = SV3. G3_MOD includes empathetic_tone. Do not reinforce the controlling dynamic. Acknowledge child's safety. Append trusted_adult_prompt. Escalate at system layer if escalate modifier present.,,,,,,,,,,,,,,,
GL-13,Vulnerability Exploitation Detector,has_vuln_exploitation = true; needs_safeguarding_line = true,GENERIC or any,VULN_EXPLOIT,G4 action is BLOCK + ESCALATE. G3_SV = SV3. G3_MOD includes safeguarding_concern. Prioritise child safety. Do not engage with the exploitative dynamic. Append trusted_adult_prompt. System-layer escalation always triggered.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"BLOCK F — PROMPT AUTHORING RULESPurpose: This block governs how prompts in Column O must be authored to ensure faithful translation of G4 gate outputs into LLM-readable instructions. Every prompt MUST respect and enforce the gate logic without softening, bypassing, or paraphrasing around it.",,,,,,,,,,,,,,,,,,,,
Rule_ID,Rule_Name,Rule Description,Applies To,Violation Pattern,Corrective Action,,,,,,,,,,,,,,,
PR-01,Gate Fidelity Rule,"Every prompt must faithfully reflect the G4 Action, Base Ending, and Response Style without softening, omitting, or paraphrasing. The prompt is an instruction contract — not a creative rewrite.","All prompts (ALLOW, TRANSFORM, BLOCK)",Prompt says 'respond helpfully' when G4 = BLOCK; prompt omits key modifier tags; prompt reframes hard block as a soft redirect.,Re-author prompt to match G4 output exactly. Use the Gate 4 Full Description as the primary source.,,,,,,,,,,,,,,,
PR-02,clarification_required = HOLD (Turn 1 Only),"When G3_MOD includes clarification_required, the Turn 1 prompt MUST output ONLY one safe clarification question. No substantive answer, no topic content, no explanation, no redirect question is permitted in Turn 1.",SV2 + clarification_required rows,Prompt generates a substantive answer in Turn 1 despite clarification_required being set. Prompt includes 'explain that...' or 'answer safely...' alongside the clarification ask.,Strip all content from Turn 1. Prompt must contain ONLY: [Age] [G1] [G2: AMBIGUOUS_RISK] [G3: SV2 | clarification_required] [G4: TRANSFORM(hold)] + instruction to ask exactly one safe clarification question and stop.,,,,,,,,,,,,,,,
PR-03,no_content_engagement = Absolute Silence on Topic,"When no_content_engagement is in G3_MOD, the prompt MUST prohibit ANY topic-related content, explanation, reason-giving, or redirect question. The only permitted output is a minimal block acknowledgment (if any) or complete silence.","SV3 + no_content_engagement rows (DANGEROUS, UNSAFE_CONTENT)",Prompt says 'tell the child why we always redirect' or 'ask them a safe question instead' or 'explain that this is not something we discuss' — all of which engage with the topic.,"Remove all explanatory content. Prompt must explicitly say: Do NOT explain, do NOT redirect with a question, do NOT acknowledge the topic. If any text is permitted, it must be a single pre-approved minimal block phrase only.",,,,,,,,,,,,,,,
PR-04,no_curiosity_invite = Suppress Ending Question,"When no_curiosity_invite is in G3_MOD, the prompt MUST NOT include any ending question, curiosity prompt, or follow-up invitation of any kind. The response must end cleanly without an open question.",All rows where G3_MOD contains no_curiosity_invite,Prompt ends with 'Question: How does X work?' or 'What do you think about Y?' despite no_curiosity_invite being set.,"Remove all ending questions from the prompt. Final sentence must be a statement, not a question. Do not add any variation of 'What do you think?' or 'Can you tell me more?'.",,,,,,,,,,,,,,,
PR-05,Age Band and Length Constraint are Mandatory,"Every prompt MUST declare the child's age band explicitly (e.g., 5-8 years) and instruct the LLM to keep the response to 5 lines or less. These are non-negotiable baseline requirements for all prompt types.",All prompts,Prompt omits age band declaration; prompt does not specify line limit; prompt uses 'keep it simple' without specifying the exact constraint.,Add [Age: 5-8] tag at start of every prompt. Add explicit instruction 'Respond in 5 lines or less' before any content instruction.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"BLOCK G — HARD BLOCK PROMPT TEMPLATEPurpose: Provides standardised, pre-approved prompt templates for the two hardest block types: (1) DANGEROUS / no_content_engagement and (2) clarification_required HOLD prompts. These templates are the ONLY approved format for these cases. Do not deviate or paraphrase.",,,,,,,,,,,,,,,,,,,,
Template_ID,Applies When,Approved Prompt Template,Key Constraints,What MUST NOT Appear in Output,,,,,,,,,,,,,,,,
HBT-01,G2 = DANGEROUS | G3_MOD includes no_content_engagement | G4 = BLOCK,"[Age: 5-8 | G1: {G1_VALUE} | G2: DANGEROUS | G3: SV3 | no_curiosity_invite, no_content_engagement | G4: BLOCK] You are a safe, caring helper for a 5-year-old child. This question asks about something that could be dangerous. Do NOT explain how or why. Do NOT engage with the topic. Do NOT ask a follow-up question. Respond in 5 lines or less by telling the child kindly that this is something you cannot help with, and they should ask a grown-up if they have questions.",Must not explain mechanism. Must not name the topic. Must not redirect with a question. Must end with grown-up referral only.,"Any explanation of why the topic is dangerous; any redirect question; any alternate topic suggestion; any use of the word 'explode', 'fire', 'harm', or the topic noun.",,,,,,,,,,,,,,,,
HBT-02,G2 = AMBIGUOUS_RISK | G3_MOD includes clarification_required | G4 = TRANSFORM (hold),"[Age: 5-8 | G1: {G1_VALUE} | G2: AMBIGUOUS_RISK | G3: SV2 | clarification_required, no_curiosity_invite | G4: TRANSFORM (hold)] You are a safe, caring helper for a 5-year-old child. This question could mean different things. Before answering, you MUST ask exactly ONE safe clarification question to understand what the child means. Do NOT answer the question. Do NOT provide any information about the topic. Respond in 1 sentence only with your clarification question.",Turn 1 output = exactly 1 clarification question. No content answer. No topic engagement. Question must be safe regardless of what child means.,Any substantive answer; any topic explanation; any attempt to 'safely' address the topic; any follow-up question after clarification ask; any redirect.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"BLOCK H — PROMPT COMPLIANCE CHECKLISTPurpose: Before any prompt is written into Column O, the author must verify ALL items on this checklist. A prompt may only be marked 'approved' if every checklist item passes. Use this as a pre-submission gate.",,,,,,,,,,,,,,,,,,,,
Check_ID,Checklist Item,How to Verify,Applies To,Fail Condition,,,,,,,,,,,,,,,,
CHK-01,Age band is declared in prompt header,Look for [Age: 5-8] or equivalent explicit tag at the start of the prompt string.,All prompts,"No age tag present, or age is implied rather than stated explicitly.CHK-02","G1, G2, G3, G4 values are all present in prompt header",Verify prompt header contains: [G1: X | G2: X | G3: SVx | modifiers | G4: ACTION],All prompts,Any gate value missing or abbreviated without modifier tags.CHK-03,5-line limit instruction is present,Search for 'Respond in 5 lines or less' or equivalent explicit instruction in the prompt body.,All prompts,Line limit omitted or phrased as 'keep it brief' without specifying the number.,,,,,,,,
CHK-02,"G1, G2, G3, G4 values are all present in prompt header",Verify prompt header contains: [G1: X | G2: X | G3: SVx | modifiers | G4: ACTION],All prompts,Any gate value missing or abbreviated without modifier tags.CHK-03,5-line limit instruction is present,Search for 'Respond in 5 lines or less' or equivalent explicit instruction in the prompt body.,All prompts,Line limit omitted or phrased as 'keep it brief' without specifying the number.,,,,,,,,,,,,
CHK-03,5-line limit instruction is present,Search for 'Respond in 5 lines or less' or equivalent explicit instruction in the prompt body.,All prompts,Line limit omitted or phrased as 'keep it brief' without specifying the number.,,,,,,,,,,,,,,,,
CHK-04,"If clarification_required is in G3_MOD, Turn 1 contains ONLY the clarification question","Read Turn 1 instruction in the prompt. Confirm it outputs ONLY a single question. No answer, no content.",SV2 + clarification_required rows,"Turn 1 contains any substantive content, explanation, or redirect alongside or after the clarification question.CHK-05","If no_content_engagement is in G3_MOD, prompt contains NO topic content","Scan prompt for topic-related words, explanations, reasons, or redirect questions. Any presence = FAIL.",SV3 + no_content_engagement rows,"Prompt contains any explanation of the topic, any mechanism description, any reason-giving, or any redirect question related to the blocked topic.CHK-06","If no_curiosity_invite is in G3_MOD, prompt ends without a question","Read the final sentence of the response instruction. Confirm it is a statement, not a question.",All rows with no_curiosity_invite in G3_MOD,Final instruction ends with a question mark or includes any invitation for further questioning.CHK-07,G4 Action matches the actual instruction in the prompt body,"If G4 = BLOCK, prompt must say block/do not answer. If G4 = ALLOW, prompt invites a full answer. If G4 = TRANSFORM, prompt asks for reframing.",All prompts,G4 = BLOCK but prompt says 'answer helpfully'; G4 = ALLOW but prompt adds restrictions not warranted by gate.CHK-08,"Prompt does not introduce content, instructions, or framing not supported by gate outputs","Review prompt for any added language, explanations, caveats, or encouragements not derivable from G1-G4 outputs.",All prompts,"Prompt adds extra helpful phrasing, unsolicited explanations, or softens block language using 'but you can always ask' type redirects."
CHK-05,"If no_content_engagement is in G3_MOD, prompt contains NO topic content","Scan prompt for topic-related words, explanations, reasons, or redirect questions. Any presence = FAIL.",SV3 + no_content_engagement rows,"Prompt contains any explanation of the topic, any mechanism description, any reason-giving, or any redirect question related to the blocked topic.CHK-06","If no_curiosity_invite is in G3_MOD, prompt ends without a question","Read the final sentence of the response instruction. Confirm it is a statement, not a question.",All rows with no_curiosity_invite in G3_MOD,Final instruction ends with a question mark or includes any invitation for further questioning.CHK-07,G4 Action matches the actual instruction in the prompt body,"If G4 = BLOCK, prompt must instruct 'do not answer'. If G4 = ALLOW, prompt invites a full answer. If G4 = TRANSFORM, prompt asks for reframing.",All prompts,G4 = BLOCK but prompt says 'answer helpfully'; G4 = ALLOW but prompt adds restrictions not supported by gate.CHK-08,"Prompt does not introduce content, framing, or language not supported by gate outputs","Review prompt for any added caveats, helpful phrasing, or redirects not derivable from G1-G4 outputs.",All prompts,Prompt softens block language with 'but you can always ask a grown-up'; adds unsolicited encouragement; introduces topic content not triggered by gate logic.,,,,
CHK-06,"If no_curiosity_invite is in G3_MOD, prompt ends without a question","Read the final sentence of the response instruction. Confirm it is a statement, not a question.",All rows with no_curiosity_invite in G3_MOD,Final instruction ends with a question mark or includes any invitation for further questioning.CHK-07,G4 Action matches the actual instruction in the prompt body,"If G4 = BLOCK, prompt must say 'do not answer'. If G4 = ALLOW, prompt invites a full answer. If G4 = TRANSFORM, prompt asks for reframing.",All prompts,G4 = BLOCK but prompt says 'answer helpfully'; G4 = ALLOW but prompt adds restrictions not supported by gate.CHK-08,"Prompt does not introduce content, framing, or language not supported by gate outputs","Review prompt for any added caveats, helpful phrasing, or redirects not derivable from G1-G4 outputs.",All prompts,Prompt softens block language with 'but you can always ask a grown-up'; adds unsolicited encouragement; introduces topic content not triggered by gate logic.,,,,,,,,
CHK-07,G4 Action matches the actual instruction in the prompt body,"If G4 = BLOCK, prompt must say 'do not answer'. If G4 = ALLOW, prompt invites a full answer. If G4 = TRANSFORM, prompt asks for reframing.",All prompts,G4 = BLOCK but prompt says 'answer helpfully'; G4 = ALLOW but prompt adds restrictions not supported by gate.CHK-08,"Prompt does not introduce content, framing, or language not supported by gate outputs","Review prompt for any added caveats, helpful phrasing, or redirects not derivable from G1-G4 outputs.",All prompts,Prompt softens block language with 'but you can always ask a grown-up'; adds unsolicited encouragement; introduces topic content not triggered by gate logic.,,,,,,,,,,,,
CHK-08,"Prompt does not introduce content, framing, or language not supported by gate outputs","Review prompt for any added caveats, helpful phrasing, or redirects not derivable from G1-G4 outputs.",All prompts,Prompt softens block language with 'but you can always ask a grown-up'; adds unsolicited encouragement; introduces topic content not triggered by gate logic.,,,,,,,,,,,,,,,,
